Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,Yaw,PositionType
29.852861,0.121381,40.759465,-84.190955,0,0.242663,4785.518,0.261341,4,1,FALSE,FALSE,14.226146,1.057354,3
29.78436,0.122584,40.759469,-84.190953,0,0.237978,4764.2915,0.279421,4,1,FALSE,FALSE,13.619827,1.069179,3
29.716526,0.123785,40.759473,-84.19095,0,0.231073,4746.6885,0.296045,4,1,FALSE,FALSE,13.345538,1.080455,3
29.649271,0.124983,40.759477,-84.190948,0,0.220962,4727.9136,0.314331,4,1,FALSE,FALSE,13.161408,1.091194,3
29.57821,0.12618,40.759481,-84.190946,0,0.211344,4707.6777,0.324927,4,1,FALSE,FALSE,13.864182,1.101444,3
29.505392,0.12738,40.759485,-84.190943,0,0.20148,4685.714,0.327213,4,1,FALSE,FALSE,13.712644,1.111253,3
29.433592,0.128579,40.759489,-84.190941,0,0.192355,4662.679,0.323472,4,1,FALSE,FALSE,13.223599,1.120665,3
29.363726,0.129776,40.759493,-84.190939,0,0.18693,4641.8403,0.308305,4,1,FALSE,FALSE,13.279991,1.129772,3
29.291334,0.13097,40.759497,-84.190937,0,0.181258,4620.1323,0.284201,4,1,FALSE,FALSE,13.899849,1.138642,3
29.214888,0.132162,40.759502,-84.190935,0,0.176325,4596.016,0.247001,4,1,FALSE,FALSE,14.334464,1.1473,3
29.135695,0.133351,40.759506,-84.190933,0,0.174353,4576.5894,0.212084,4,1,FALSE,FALSE,14.504284,1.155794,3
29.060461,0.13453,40.75951,-84.190931,0,0.172133,4558.429,0.161156,4,1,FALSE,FALSE,13.57617,1.164193,3
28.988564,0.135704,40.759514,-84.190929,0,0.17016,4540.2754,0.103981,4,1,FALSE,FALSE,13.490507,1.172605,3
28.915558,0.136875,40.759518,-84.190927,0,0.168927,4524.79,0.04846,4,1,FALSE,FALSE,13.869449,1.181129,3
28.84118,0.138043,40.759522,-84.190925,0,0.168927,4508.9478,-0.013937,4,1,FALSE,FALSE,14.339893,1.189818,3
28.764944,0.139209,40.759526,-84.190924,0,0.168927,4494.667,-0.063654,4,1,FALSE,FALSE,14.65899,1.198708,3
28.689577,0.140373,40.75953,-84.190922,0,0.168927,4482.0405,-0.12982,4,1,FALSE,FALSE,14.509583,1.207854,3
28.615786,0.141528,40.759534,-84.19092,0,0.168927,4468.5405,-0.183303,4,1,FALSE,FALSE,14.346823,1.217271,3
28.54315,0.142678,40.759538,-84.190918,0,0.168927,4453.849,-0.241791,4,1,FALSE,FALSE,14.111862,1.226906,3
28.473846,0.143826,40.759543,-84.190917,0,0.168927,4439.41,-0.290297,4,1,FALSE,FALSE,13.943583,1.236685,3
28.40234,0.144971,40.759547,-84.190915,0,0.167941,4425.6743,-0.328816,4,1,FALSE,FALSE,14.498137,1.246568,3
28.326746,0.146113,40.759551,-84.190914,0,0.167941,4411.4355,-0.364008,4,1,FALSE,FALSE,15.146118,1.256539,3
28.25024,0.147252,40.759555,-84.190913,0,0.167941,4396.7837,-0.385042,4,1,FALSE,FALSE,14.968586,1.266554,3
28.178234,0.148387,40.759559,-84.190911,0,0.167941,4382.3022,-0.398996,4,1,FALSE,FALSE,14.446603,1.276587,3
28.106565,0.149517,40.759563,-84.19091,0,0.168927,4368.391,-0.405661,4,1,FALSE,FALSE,14.577377,1.286642,3
28.032354,0.150644,40.759567,-84.190909,0,0.168927,4352.166,-0.404204,4,1,FALSE,FALSE,15.115821,1.296701,3
27.956272,0.151768,40.759571,-84.190907,0,0.168927,4337.09,-0.396914,4,1,FALSE,FALSE,15.538883,1.306741,3
27.877323,0.152888,40.759575,-84.190906,0,0.17016,4324.406,-0.382335,4,1,FALSE,FALSE,16.269196,1.316757,3
27.793959,0.154006,40.75958,-84.190905,0,0.171147,4307.488,-0.362968,4,1,FALSE,FALSE,16.52188,1.326725,3
27.708517,0.155121,40.759584,-84.190904,0,0.175339,4291.5366,-0.339228,4,1,FALSE,FALSE,16.616793,1.336595,3
27.621668,0.156233,40.759588,-84.190903,0,0.179531,4277.524,-0.305705,4,1,FALSE,FALSE,17.077072,1.346301,3
27.532787,0.15734,40.759592,-84.190902,0,0.184464,4262.7617,-0.274475,4,1,FALSE,FALSE,17.277441,1.355855,3
27.44071,0.158444,40.759596,-84.190901,0,0.189149,4249.9404,-0.241375,4,1,FALSE,FALSE,17.69839,1.365214,3
27.348156,0.159544,40.7596,-84.1909,0,0.191369,4238.6113,-0.204116,4,1,FALSE,FALSE,17.4666,1.374364,3
27.256472,0.16064,40.759604,-84.1909,0,0.193342,4227.7314,-0.173104,4,1,FALSE,FALSE,17.811766,1.383315,3
27.163395,0.161734,40.759608,-84.190899,0,0.194575,4213.378,-0.144178,4,1,FALSE,FALSE,17.439533,1.392019,3
27.072546,0.162827,40.759612,-84.190898,0,0.195561,4202.1924,-0.110468,4,1,FALSE,FALSE,17.339867,1.40041,3
26.982079,0.163916,40.759616,-84.190898,0,0.196547,4193.0083,-0.074265,4,1,FALSE,FALSE,17.267397,1.408484,3
26.890537,0.165001,40.75962,-84.190897,0,0.19778,4178.6064,-0.043059,4,1,FALSE,FALSE,17.373947,1.416211,3
26.80134,0.166082,40.759624,-84.190897,0,0.197781,4168.0938,-0.002704,4,1,FALSE,FALSE,16.972837,1.423547,3
26.715885,0.16716,40.759628,-84.190896,0,0.198767,4160.9473,0.036397,4,1,FALSE,FALSE,16.53477,1.430573,3
26.632715,0.168236,40.759632,-84.190896,0,0.202466,4151.0923,0.084643,4,1,FALSE,FALSE,16.022772,1.437296,3
26.55326,0.169312,40.759636,-84.190895,0,0.208878,4144.0474,0.129763,4,1,FALSE,FALSE,15.606608,1.4437,3
26.475746,0.170387,40.75964,-84.190895,0,0.221455,4141.8794,0.174045,4,1,FALSE,FALSE,15.19713,1.449735,3
26.3999,0.171458,40.759644,-84.190895,0,0.240691,4139.834,0.222061,4,1,FALSE,FALSE,14.949186,1.455332,3
26.3263,0.172526,40.759648,-84.190895,0,0.261899,4145.4517,0.264043,4,1,FALSE,FALSE,14.766849,1.460468,3
26.258127,0.173592,40.759652,-84.190895,0,0.28582,4155.875,0.306642,4,1,FALSE,FALSE,13.969082,1.465149,3
26.195913,0.174655,40.759656,-84.190895,0,0.312207,4172.964,0.349859,4,1,FALSE,FALSE,13.482475,1.469469,3
26.13693,0.175716,40.75966,-84.190895,0,0.345253,4197.5073,0.399094,4,1,FALSE,FALSE,13.41874,1.473526,3
26.080704,0.176783,40.759664,-84.190895,0,0.384957,4227.667,0.452682,4,1,FALSE,FALSE,13.417758,1.477379,3
26.027824,0.177847,40.759668,-84.190895,0,0.433292,4267.746,0.4992,4,1,FALSE,FALSE,13.445046,1.481092,3
25.978304,0.178908,40.759672,-84.190895,0,0.475216,4314.2593,0.531593,4,1,FALSE,FALSE,13.559772,1.484798,3
25.933104,0.179967,40.759676,-84.190895,0,0.516646,4360.6704,0.565435,4,1,FALSE,FALSE,13.4845,1.488542,3
25.893908,0.181024,40.759679,-84.190895,0,0.557337,4411.5435,0.59782,4,1,FALSE,FALSE,13.324836,1.492332,3
